"Contract_ID","Product_ID","Start_Date","End_Date","First_Claim_Date","Last_Claim_Date","Claim_Count","Claim_Amount","Premium","Coverage","Discount_Rate","Future_Cash_Flow","CSM"
"252521b6-d0d3-47a3-b82d-5ac9a4072aff","1817","2023-05-27","2024-12-04",,,,,5232.37,78083.96,0.01,78083.96,780.83960000
"8dafe802-72fd-4528-b80d-788d5829d1bd","1853","2023-09-17","2027-10-31",,,,,9453.23,26137.91,0.05,26137.91,1306.89550000
"7a23ec3e-f488-4c2e-b221-7a7172e70bd4","1410","2023-02-21","2026-01-31",,,,,17114.67,86182.63,0.02,86182.63,1723.65260000
a51d08fd-aee4-4926-ad30-343f4101d90f,"1900","2023-04-11","2023-06-25",,,,,13306.24,90793.10,0.02,90793.10,1815.86200000
"00e7c71e-0b86-4716-8a04-10a6d754d254","1273","2023-07-20","2025-02-14",,,,,7537.78,71276.07,0.01,71276.07,712.76070000
bfed78bc-653c-429b-b98f-9cdca5843df7,"1520","2023-01-25","2027-06-25",,,,,12248.64,48315.28,0.03,48315.28,1449.45840000
"6b34853f-13c5-4b0a-8f70-8f53d7f621fc","1475","2023-06-21","2023-09-03",,,,,9923.32,44362.20,0.02,44362.20,887.24400000
"8e8c5511-86ef-4d85-9336-77923b2f001b","1110","2023-06-21","2023-10-04",,,,,7443.71,36542.11,0.03,36542.11,1096.26330000
"980c16de-4ad2-46e4-8d40-fa23b0379317","1790","2023-07-20","2028-10-31",,,,,19391.21,85645.77,0.02,85645.77,1712.91540000
"64589c3c-0d1e-4817-ad76-471cb13c0693","1249","2023-08-03","2027-09-30",,,,,10615.68,36354.30,0.03,36354.30,1090.62900000
f1d15966-c20c-409a-a162-b89eed37452e,"1027","2023-04-10","2025-06-24",,,,,5402.71,89022.21,0.04,89022.21,3560.88840000
c3f2a293-2afe-4318-814a-cedab77f48c1,"1380","2023-09-22","2028-12-02",,,,,13480.13,95582.56,0.04,95582.56,3823.30240000
"26a6d2a8-f8ce-4f10-99bd-b2bc1a860756","1037","2023-02-05","2029-08-23",,,,,19157.16,22730.86,0.02,22730.86,454.61720000
"021bd728-ac53-495c-af62-ee375d7409fb","1700","2023-06-05","2025-07-12",,,,,17982.99,42858.32,0.01,42858.32,428.58320000
d864af4b-2cf4-4c14-8ff9-c80a27248733,"1376","2023-01-17","2029-11-18",,,,,9120.44,91539.07,0.04,91539.07,3661.56280000
de085d9a-3fd0-4e1e-a6c1-1809f2bfc653,"1593","2023-07-04","2024-01-27",,,,,7642.77,36065.94,0.02,36065.94,721.31880000
eb8e6225-a0a7-4b29-9ead-22030ece64df,"1013","2023-10-13","2025-12-27",,,,,19313.76,53364.90,0.04,53364.90,2134.59600000
"83815a12-a373-411f-adbb-e0ae53063355","1496","2023-08-09","2028-06-22",,,,,10423.90,95133.94,0.02,95133.94,1902.67880000
"1d713cc1-23e2-416f-b66e-9a22a7d122be","1689","2022-12-30","2028-10-05",,,,,9406.50,67136.92,0.05,67136.92,3356.84600000
d18502b5-fc2a-4e7e-ae54-adcf4e027073,"1216","2023-04-05","2029-09-04",,,,,16622.23,29551.38,0.02,29551.38,591.02760000
"6d32f12c-b445-4021-b10f-e53d71205c8a","1921","2023-04-01","2025-08-13",,,,,7122.34,89091.24,0.04,89091.24,3563.64960000
"19633858-98a6-4e4e-8fac-a8d92bb7d125","1239","2023-04-03","2027-05-05",,,,,17779.30,28661.84,0.02,28661.84,573.23680000
"1e9bc62c-162a-4268-8678-925901b76ba5","1854","2023-03-27","2026-10-16",,,,,16374.01,25065.72,0.02,25065.72,501.31440000
"8a1e503d-d357-458b-8710-7d21fa5d75b4","1610","2023-03-19","2025-01-17",,,,,15129.33,26507.81,0.04,26507.81,1060.31240000
