,type,Bathrooms,rooms_available,Electricity,Internet,cluster
0,3,0.0,0.23076923076923078,1,1,1
1,3,0.0,0.23076923076923078,1,1,1
2,3,0.125,0.0,1,1,1
3,3,0.125,0.38461538461538464,1,1,1
4,3,0.0,0.3076923076923077,1,1,1
5,3,0.0,0.3076923076923077,1,1,1
6,3,0.125,0.3076923076923077,1,1,1
7,3,0.125,0.3076923076923077,1,1,1
8,1,0.0,0.0,1,1,3
9,3,0.125,0.38461538461538464,1,1,1
10,3,0.125,0.38461538461538464,1,0,1
11,3,0.0,0.3076923076923077,1,1,1
12,3,0.125,0.5384615384615385,1,1,1
13,3,0.125,0.3076923076923077,1,1,1
14,3,0.125,0.3076923076923077,1,1,1
15,3,0.125,0.3076923076923077,1,1,1
16,3,0.125,0.3076923076923077,1,1,1
17,3,0.125,0.38461538461538464,1,1,1
18,3,0.125,0.5384615384615385,1,1,1
19,3,0.125,0.3076923076923077,1,1,1
20,3,0.125,0.38461538461538464,1,1,1
21,3,0.125,0.4615384615384616,1,1,1
22,3,0.0,0.3076923076923077,1,1,1
23,3,0.125,0.38461538461538464,1,1,1
24,3,0.25,0.5384615384615385,1,1,1
25,2,0.0,0.07692307692307693,0,0,2
26,3,0.25,0.38461538461538464,1,1,1
27,3,0.0,0.0,1,1,1
28,3,0.0,0.23076923076923078,1,1,1
30,3,0.0,0.23076923076923078,1,1,1
31,3,0.0,0.0,1,1,1
32,3,0.0,0.23076923076923078,1,1,1
33,3,0.125,0.23076923076923078,1,1,1
34,3,0.0,0.23076923076923078,1,1,1
35,3,0.125,0.0,1,1,1
36,3,0.25,0.15384615384615385,1,1,1
38,2,0.25,0.5384615384615385,1,1,3
40,2,0.0,0.07692307692307693,1,1,3
41,3,0.25,0.0,1,1,1
42,3,0.0,0.23076923076923078,0,0,0
43,3,0.25,0.6923076923076923,1,1,1
44,3,0.125,0.0,1,1,1
45,3,0.125,0.3076923076923077,1,1,1
46,3,0.125,0.3076923076923077,1,1,1
47,3,0.25,0.5384615384615385,1,1,1
48,3,0.125,0.0,1,1,1
49,3,0.125,0.4615384615384616,1,1,1
50,3,0.125,0.3076923076923077,1,1,1
51,3,0.125,0.5384615384615385,1,1,1
52,3,0.125,0.15384615384615385,1,1,1
53,3,0.125,0.38461538461538464,1,1,1
54,3,0.125,0.15384615384615385,1,1,1
55,2,0.0,0.07692307692307693,1,1,3
56,3,0.0,0.3076923076923077,1,1,1
57,2,0.0,0.3076923076923077,1,1,3
58,2,0.125,0.4615384615384616,1,1,3
59,2,0.125,0.38461538461538464,1,1,3
60,3,0.125,0.38461538461538464,1,1,1
61,3,0.125,0.38461538461538464,1,1,1
62,2,0.0,0.23076923076923078,1,1,3
63,3,0.125,0.5384615384615385,1,1,1
64,3,0.0,0.3076923076923077,1,1,1
65,3,0.25,0.6153846153846154,1,1,1
66,2,0.125,0.4615384615384616,1,1,3
67,3,0.0,0.3076923076923077,1,1,1
69,2,0.25,0.5384615384615385,1,1,3
70,2,0.125,0.07692307692307693,1,1,3
71,2,0.25,0.5384615384615385,1,1,3
72,3,0.125,0.5384615384615385,1,1,1
73,1,0.0,0.0,1,1,3
74,2,0.125,0.15384615384615385,1,1,3
75,2,0.0,0.23076923076923078,1,1,3
76,2,0.0,0.23076923076923078,1,1,3
77,3,0.125,0.3076923076923077,1,1,1
78,0,0.0,0.23076923076923078,0,0,2
79,3,0.125,0.3076923076923077,1,1,1
80,3,0.125,0.4615384615384616,1,1,1
81,3,0.125,0.3076923076923077,1,1,1
82,3,0.125,0.3076923076923077,1,1,1
83,3,0.125,0.5384615384615385,1,1,1
84,3,0.125,0.4615384615384616,1,1,1
85,3,0.125,0.4615384615384616,1,1,1
86,3,0.0,0.23076923076923078,1,1,1
87,3,0.125,0.4615384615384616,1,1,1
88,3,0.125,0.4615384615384616,1,1,1
89,3,0.125,0.5384615384615385,1,1,1
90,3,0.125,0.38461538461538464,1,1,1
91,3,0.125,0.38461538461538464,1,1,1
92,3,0.125,0.38461538461538464,1,1,1
93,3,0.125,0.38461538461538464,1,1,1
94,2,0.0,0.07692307692307693,1,1,3
95,2,0.0,0.07692307692307693,0,1,2
97,3,0.0,0.07692307692307693,1,1,1
98,3,0.25,0.38461538461538464,0,0,0
100,3,0.25,0.3076923076923077,0,0,0
102,3,0.25,0.5384615384615385,1,1,1
105,3,0.25,0.23076923076923078,1,1,1
106,3,0.0,0.23076923076923078,0,0,0
107,3,0.0,0.23076923076923078,0,0,0
108,3,0.125,0.23076923076923078,0,0,0
109,3,0.0,0.23076923076923078,0,0,0
110,3,0.0,0.23076923076923078,0,0,0
111,3,0.0,0.23076923076923078,0,0,0
112,3,0.0,0.23076923076923078,0,0,0
113,3,0.0,0.23076923076923078,0,0,0
114,3,0.125,0.0,0,0,0
115,3,0.125,0.23076923076923078,0,0,0
116,3,0.0,0.3076923076923077,0,0,0
117,3,0.0,0.23076923076923078,0,0,0
118,3,0.125,0.3076923076923077,0,0,0
119,3,0.0,0.15384615384615385,0,0,0
120,2,0.0,0.0,0,0,2
121,3,0.25,0.0,0,0,0
122,3,0.125,0.3076923076923077,0,0,0
123,3,0.0,0.23076923076923078,0,0,0
124,3,0.0,0.23076923076923078,0,0,0
125,3,0.25,0.38461538461538464,0,0,0
126,3,0.0,0.23076923076923078,0,0,0
127,3,0.0,0.0,0,0,0
128,3,0.125,0.0,0,0,0
129,3,0.0,0.0,0,0,0
130,3,0.0,0.23076923076923078,0,0,0
131,3,0.0,0.15384615384615385,0,0,0
132,3,0.0,0.0,0,0,0
133,3,0.125,0.3076923076923077,0,0,0
134,3,0.125,0.3076923076923077,0,0,0
135,3,0.125,0.23076923076923078,0,0,0
136,3,0.125,0.0,0,0,0
137,3,0.0,0.0,0,0,0
138,3,0.0,0.15384615384615385,0,0,0
139,3,0.125,0.3076923076923077,0,0,0
140,3,0.125,0.23076923076923078,0,0,0
141,3,0.125,0.23076923076923078,0,0,0
142,3,0.125,0.23076923076923078,0,0,0
143,2,0.0,0.0,0,0,2
144,2,0.0,0.0,0,0,2
145,2,0.0,0.0,0,0,2
146,2,0.0,0.15384615384615385,0,0,2
156,3,0.0,0.6153846153846154,0,0,0
159,3,0.0,0.15384615384615385,0,0,0
160,3,0.0,0.23076923076923078,0,0,0
161,3,0.125,0.38461538461538464,0,0,0
162,3,0.125,0.38461538461538464,0,0,0
163,3,0.125,0.4615384615384616,0,0,0
164,3,0.125,0.4615384615384616,0,0,0
167,3,0.0,0.3076923076923077,0,0,0
168,3,0.0,0.15384615384615385,0,0,0
169,3,0.0,0.3076923076923077,0,0,0
170,3,0.0,0.15384615384615385,0,0,0
171,3,0.125,0.5384615384615385,0,0,0
172,3,0.0,0.15384615384615385,0,0,0
173,3,0.0,0.3076923076923077,0,0,0
174,3,0.0,0.15384615384615385,0,0,0
175,3,0.0,0.07692307692307693,0,0,0
176,3,0.125,0.5384615384615385,0,0,0
177,3,0.0,0.07692307692307693,0,0,0
178,3,0.0,0.23076923076923078,0,0,0
179,3,0.0,0.8461538461538463,0,0,0
180,3,0.0,0.07692307692307693,0,0,0
181,3,0.125,0.38461538461538464,0,0,0
182,3,0.125,0.23076923076923078,0,0,0
189,3,0.125,0.4615384615384616,0,0,0
190,2,0.0,0.15384615384615385,0,0,2
191,2,0.0,0.23076923076923078,0,0,2
193,2,0.0,0.23076923076923078,0,0,2
194,3,0.125,0.38461538461538464,0,0,0
195,3,0.125,0.38461538461538464,0,0,0
196,3,0.125,0.23076923076923078,0,0,0
197,3,0.125,0.23076923076923078,0,0,0
198,3,0.125,0.23076923076923078,0,0,0
200,3,0.125,0.07692307692307693,0,0,0
201,3,0.125,0.38461538461538464,0,0,0
203,3,0.125,0.38461538461538464,0,0,0
204,3,0.125,0.4615384615384616,0,0,0
205,3,0.125,0.07692307692307693,0,0,0
206,3,0.125,0.4615384615384616,0,0,0
207,3,0.125,0.5384615384615385,0,0,0
208,3,0.125,0.38461538461538464,0,0,0
209,3,0.125,0.3076923076923077,0,0,0
210,3,0.125,0.4615384615384616,0,0,0
212,3,0.125,0.38461538461538464,0,0,0
213,3,0.125,0.3076923076923077,0,0,0
214,3,0.125,0.38461538461538464,0,0,0
215,3,0.125,0.23076923076923078,0,0,0
216,3,0.125,0.38461538461538464,0,0,0
217,3,0.125,0.6153846153846154,0,0,0
218,3,0.125,0.38461538461538464,0,0,0
219,3,0.0,0.15384615384615385,0,0,0
221,3,0.125,0.38461538461538464,0,0,0
222,3,0.125,0.3076923076923077,0,0,0
223,3,0.125,0.4615384615384616,0,0,0
224,3,0.125,0.38461538461538464,0,0,0
225,3,0.125,0.4615384615384616,0,0,0
226,3,0.125,0.38461538461538464,0,0,0
227,3,0.125,0.38461538461538464,0,0,0
228,2,0.125,0.4615384615384616,0,0,2
229,3,0.0,0.4615384615384616,0,0,0
230,2,0.0,0.15384615384615385,0,0,2
231,2,0.25,0.5384615384615385,0,0,2
232,2,0.125,0.38461538461538464,0,0,2
233,2,0.25,0.6153846153846154,0,0,2
234,3,0.125,0.5384615384615385,0,0,0
235,3,0.125,0.38461538461538464,0,0,0
236,3,0.125,0.3076923076923077,0,0,0
238,3,0.0,0.23076923076923078,0,0,0
239,3,0.125,0.38461538461538464,0,0,0
240,3,0.125,0.23076923076923078,0,0,0
