link,headline,episode,posted_by,main_link,rate,ratingcount,genre,japanese_title,synonims,english_title,status,type,source,duration,total_episode,season,studio,producers,released
https://samehadaku.email/tasuuketsu-episode-20/,Tasuuketsu Episode 20,20,Azuki,https://samehadaku.email/anime/tasuuketsu/,5.4,"1,473",Action|Drama|High Stakes Game|Psychological|Suspense,Japanese  多数欠,,English Tasuketsu -Fate of the Majority-,Status Ongoing,Type TV,Source  Web manga,Duration 22 min.,Total Episode ,Season Summer 2024,Studio Satelight,"Producers Team Kawadon, VAP","Released:   Jul 3, 2024 to ?"
https://samehadaku.email/rekishi-ni-nokoru-akujo-ni-naru-zo-episode-9/,Rekishi ni Nokoru Akujo ni Naru zo Episode 9,9,Urusai,https://samehadaku.email/anime/rekishi-ni-nokoru-akujo-ni-naru-zo/,7.07,"9,196",Comedy|Fantasy|Isekai|Reincarnation|Romance|Shoujo,Japanese 歴史に残る悪女になるぞ ,"Synonyms Rekiaku, I'll Become a Villainess That Will Go Down in History: The More of a Villainess I Become, the More the Prince will Dote on Me ",English I'll Become a Villainess Who Goes Down in History ,Status Ongoing,Type TV,Source Light novel,Duration 23 min. per ep. ,Total Episode 13,Season Fall 2024,Studio Maho Film,"Producers Half H.P Studio, Lantis","Released:  Oct 2, 2024 to ? "
https://samehadaku.email/amagami-san-chi-no-enmusubi-episode-9/,Amagami-san Chi no Enmusubi Episode 9,9,Urusai,https://samehadaku.email/anime/amagami-san-chi-no-enmusubi/,6.95,"7,388",Comedy|Harem|Romance|Shounen,Japanese 甘神さんちの縁結び ,Synonyms Matchmaking of the Amagami Household ,English Tying the Knot with an Amagami Sister ,Status Ongoing,Type TV,Source Manga,Duration 23 min. per ep. ,Total Episode 24,Season Fall 2024,Studio Drive,Producers ,"Released:  Oct 2, 2024 to ? "
https://samehadaku.email/youkai-gakkou-no-sensei-hajimemashita-episode-8/,Youkai Gakkou no Sensei Hajimemashita! Episode 8,8,Urusai,https://samehadaku.email/anime/youkai-gakkou-no-sensei-hajimemashita/,6.47,"3,094",Comedy|Fantasy|Gag Humor|Mythology|School|Shounen|Workplace,Japanese 妖怪学校の先生はじめました！ ,"Synonyms I Started Being a Teacher for a Youkai School!, Yohaji",English A Terrified Teacher at Ghoul School! ,Status Ongoing,Type TV,Source Manga,Duration 23 min. per ep. ,Total Episode 24,Season Fall 2024,Studio Satelight,Producers Kappa Entertainment,"Released:  Oct 8, 2024 to ? "
https://samehadaku.email/seirei-gensouki-season-2-episode-8/,Seirei Gensouki Season 2 Episode 8,8,Dinda,https://samehadaku.email/anime/seirei-gensouki-s2/,7.00,"9,191",Action|Adventure|Fantasy|Romance,Japanese 精霊幻想記2,,English Seirei Gensouki: Spirit Chronicles Season 2,Status Ongoing,Type TV,Source Light Novel,Duration 24 Min,Total Episode 12,Season Fall 2024,Studio TMS Entertainment,"Producers Kanon Sound, Nippon Columbia, TMS Music","Released:  Oct 8, 2024 to ?"
https://samehadaku.email/hoshifuru-oukoku-no-nina-episode-8/,Hoshifuru Oukoku no Nina Episode 8,8,Azuki,https://samehadaku.email/anime/hoshifuru-oukoku-no-nina/,6.79,"2,128",Fantasy|Romance,Japanese 星降る王国のニナ,Synonyms Nina of the Starry Kingdom,English Nina the Starry Bride,Status Ongoing,Type TV,Source Manga,Duration ,Total Episode ,Season Fall 2024,Studio Signal.MD,"Producers flying DOG, Nikkatsu","Released:  Oct 10, 2024 to ?"
https://samehadaku.email/arifureta-shokugyou-de-sekai-saikyou-season-3-episode-7/,Arifureta Shokugyou de Sekai Saikyou Season 3 Episode 7,3,Urusai,https://samehadaku.email/anime/arifureta-shokugyou-de-sekai-saikyou-season-3/,7.47,"8,787",Action|Adventure|Fantasy|Harem|Isekai,Japanese ありふれた職業で世界最強 season 3 ,Synonyms From Common Job Class to the Strongest in the World Season 3 ,English Arifureta: From Commonplace to World's Strongest Season 3 ,Status Ongoing,Type TV,Source Light novel,Duration 23 min. per ep.,Total Episode 16,Season Fall 2024,Studio Asread,Producers Overlap,"Released:  Oct 14, 2024 to ? "
https://samehadaku.email/raise-wa-tanin-ga-ii-episode-8/,Raise wa Tanin ga Ii Episode 8,8,Azuki,https://samehadaku.email/anime/raise-wa-tanin-ga-ii/,7.25," 4,611",Organized Crime|Romance|Seinen,Japanese 来世は他人がいい ,,English Yakuza Fiancé: Raise wa Tanin ga Ii ,Status Ongoing,Type TV,Source Manga,Duration ,Total Episode ,Season Fall 2024,Studio Studio Deen,"Producers Half H.P Studio, Pony Canyon","Released:  Oct 7, 2024 to ? "
https://samehadaku.email/saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-clan-wo-shitagaeru-episode-9/,Saikyou no Shienshoku “Wajutsushi” de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru Episode 9,9,Urusai,https://samehadaku.email/anime/saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-clan-wo-shitagaeru/,7.00,"9,082",Action|Adventure|Fantasy,Japanese 最凶の支援職【話術士】である俺は世界最強クランを従える,"Synonyms The Most Notorious ""Talker"" Runs the World's Greatest Clan","English The Most Notorious ""Talker"" Runs the World's Greatest Clan",Status Ongoing,Type TV,Source Light Novel,Duration 24 min. per ep.,Total Episode 12,Season Fall 2024,"Studio Felix Film, Ga-Crew","Producers DAX Production, GREE Entertainment","Released:  Oct 7, 2024 to ?"
https://samehadaku.email/nageki-no-bourei-wa-intai-shitai-episode-9/,Nageki no Bourei wa Intai shitai Episode 9,9,Azuki,https://samehadaku.email/anime/nageki-no-bourei-wa-intai-shitai/,7,"5,268",Action|Adventure|Fantasy,Japanese  嘆きの亡霊は引退したい,Synonyms Let This Grieving Soul Retire! Woe Is the Weakling Who Leads the Strongest Party,English Let This Grieving Soul Retire,Status Ongoing,Type TV,Source Light novel,"Duration 5,268",Total Episode 13,Season Fall 2024,Studio Zero-G,"Producers Avex Pictures, BS NTV, GREE Entertainment, Micro Magazine Publishing, Saber Links, Tokyo MX","Released:  Oct 1, 2024 to ?"
